iter	Passed	Remaining
0	141	141641
1	142	71052
2	142	47516
3	143	35772
4	144	28716
5	144	24013
6	145	20655
7	146	18131
8	146	16169
9	147	14594
10	148	13312
11	149	12270
12	149	11367
13	150	10591
14	151	9917
15	151	9324
16	153	8855
17	153	8388
18	154	7972
19	155	7600
20	155	7261
21	156	6952
22	157	6669
23	157	6410
24	158	6169
25	158	5948
26	159	5745
27	160	5556
28	160	5385
29	161	5221
30	162	5067
31	162	4922
32	163	4787
33	163	4659
34	164	4538
35	165	4426
36	166	4325
37	167	4242
38	168	4145
39	168	4051
40	169	3964
41	170	3880
42	170	3799
43	171	3721
44	171	3648
45	172	3579
46	173	3512
47	173	3447
48	174	3387
49	175	3327
50	175	3268
51	176	3213
52	176	3162
53	177	3114
54	178	3067
55	179	3022
56	179	2976
57	180	2932
58	181	2888
59	181	2846
60	182	2805
61	182	2765
62	183	2727
63	183	2689
64	184	2655
65	185	2622
66	185	2589
67	186	2557
68	187	2525
69	187	2494
70	188	2464
71	188	2435
72	189	2406
73	190	2378
74	190	2352
75	191	2329
76	192	2303
77	192	2278
78	193	2253
79	193	2229
80	194	2206
81	195	2183
82	195	2158
83	196	2137
84	196	2119
85	197	2100
86	198	2082
87	199	2063
88	199	2044
89	200	2024
90	200	2006
91	201	1988
92	202	1970
93	202	1954
94	203	1937
95	204	1921
96	204	1904
97	205	1889
98	205	1872
99	206	1857
100	206	1841
101	207	1827
102	208	1813
103	208	1800
104	209	1786
105	210	1772
106	210	1758
107	211	1745
108	211	1731
109	212	1718
110	213	1706
111	213	1694
112	214	1682
113	215	1672
114	216	1662
115	216	1651
116	217	1641
117	218	1629
118	218	1618
119	219	1608
120	219	1597
121	220	1586
122	221	1578
123	222	1569
124	222	1558
125	223	1549
126	223	1538
127	224	1528
128	225	1519
129	225	1509
130	226	1500
131	226	1490
132	227	1481
133	228	1473
134	228	1465
135	229	1456
136	229	1447
137	230	1439
138	230	1430
139	231	1422
140	232	1413
141	232	1404
142	232	1396
143	233	1388
144	234	1380
145	234	1373
146	235	1366
147	236	1359
148	236	1351
149	237	1344
150	237	1337
151	238	1330
152	238	1322
153	239	1316
154	240	1310
155	240	1303
156	241	1296
157	242	1290
158	242	1283
159	243	1277
160	243	1270
161	244	1264
162	244	1258
163	245	1252
164	246	1246
165	247	1241
166	247	1235
167	248	1231
168	249	1226
169	250	1220
170	250	1215
171	251	1209
172	252	1204
173	252	1199
174	253	1194
175	253	1189
176	254	1183
177	255	1178
178	255	1173
179	256	1168
180	257	1163
181	257	1158
182	258	1153
183	258	1148
184	259	1143
185	260	1139
186	260	1134
187	261	1129
188	262	1124
189	262	1119
190	263	1115
191	263	1110
192	264	1106
193	265	1103
194	266	1099
195	266	1094
196	267	1090
197	267	1085
198	268	1080
199	269	1076
200	269	1072
201	270	1067
202	270	1063
203	271	1060
204	272	1057
205	273	1053
206	273	1048
207	274	1044
208	274	1040
209	275	1036
210	276	1032
211	276	1028
212	277	1025
213	278	1021
214	278	1017
215	279	1013
216	279	1009
217	280	1005
218	280	1001
219	281	997
220	282	994
221	282	990
222	283	987
223	284	984
224	284	980
225	285	976
226	285	973
227	286	969
228	286	966
229	287	962
230	288	958
231	288	955
232	289	952
233	289	948
234	290	945
235	291	942
236	291	939
237	292	935
238	292	932
239	293	928
240	293	925
241	294	922
242	295	919
243	295	916
244	296	913
245	296	909
246	297	906
247	298	903
248	298	900
249	299	897
250	299	894
251	300	890
252	300	887
253	301	884
254	301	882
255	302	879
256	303	876
257	303	873
258	304	870
259	305	868
260	305	865
261	306	862
262	306	860
263	307	857
264	308	855
265	309	852
266	309	850
267	310	847
268	311	845
269	311	842
270	312	839
271	312	837
272	313	834
273	314	833
274	315	831
275	315	828
276	316	826
277	317	823
278	317	821
279	318	818
280	318	816
281	319	813
282	320	811
283	320	808
284	321	806
285	321	803
286	322	801
287	323	798
288	323	796
289	324	793
290	324	791
291	325	789
292	326	786
293	326	784
294	327	782
295	327	779
296	328	777
297	329	775
298	329	772
299	330	770
300	330	768
301	331	765
302	331	763
303	332	761
304	333	759
305	333	757
306	334	755
307	335	752
308	335	750
309	336	748
310	336	746
311	337	744
312	338	742
313	338	739
314	339	737
315	339	735
316	340	733
317	341	731
318	341	729
319	342	727
320	342	725
321	343	723
322	344	721
323	344	719
324	345	717
325	345	715
326	346	713
327	347	711
328	347	709
329	348	707
330	349	705
331	349	703
332	350	701
333	350	699
334	351	697
335	352	695
336	352	693
337	353	691
338	353	690
339	354	688
340	354	686
341	355	684
342	356	681
343	356	680
344	357	678
345	357	676
346	358	674
347	359	672
348	359	670
349	360	669
350	360	667
351	361	665
352	362	663
353	362	661
354	363	660
355	364	658
356	364	656
357	365	654
358	365	653
359	366	651
360	367	649
361	367	648
362	368	646
363	369	645
364	369	643
365	370	641
366	371	640
367	371	638
368	372	637
369	373	635
370	373	633
371	374	631
372	374	630
373	375	628
374	376	626
375	376	625
376	377	623
377	377	621
378	378	620
379	378	618
380	379	616
381	380	614
382	380	613
383	381	611
384	381	609
385	382	608
386	382	606
387	383	605
388	384	603
389	384	601
390	385	600
391	385	598
392	386	596
393	386	595
394	387	593
395	388	592
396	389	591
397	389	589
398	390	588
399	391	586
400	391	585
401	392	583
402	392	581
403	393	580
404	394	579
405	395	578
406	395	576
407	396	574
408	396	573
409	397	571
410	397	570
411	398	568
412	398	567
413	399	565
414	400	564
415	400	562
416	401	561
417	401	559
418	402	558
419	403	556
420	403	555
421	404	553
422	404	552
423	405	550
424	405	549
425	406	547
426	407	546
427	407	544
428	408	543
429	408	541
430	409	540
431	409	538
432	410	537
433	410	535
434	411	534
435	411	532
436	412	531
437	413	530
438	413	528
439	414	527
440	415	526
441	415	524
442	416	523
443	416	521
444	417	520
445	417	519
446	418	517
447	419	516
448	419	515
449	420	514
450	421	512
451	421	511
452	422	509
453	422	508
454	423	507
455	424	505
456	424	504
457	425	503
458	425	502
459	426	500
460	427	499
461	427	498
462	428	496
463	428	495
464	429	494
465	429	492
466	430	491
467	431	490
468	431	489
469	432	487
470	433	486
471	434	485
472	434	484
473	435	483
474	435	481
475	436	480
476	437	479
477	437	478
478	438	476
479	438	475
480	439	474
481	440	472
482	440	471
483	441	470
484	441	469
485	442	467
486	442	466
487	443	465
488	444	464
489	445	463
490	445	461
491	446	460
492	446	459
493	447	458
494	447	456
495	448	455
496	449	454
497	449	453
498	450	452
499	451	451
500	451	450
501	452	448
502	453	447
503	453	446
504	454	445
505	454	443
506	455	442
507	455	441
508	456	440
509	457	439
510	457	437
511	458	436
512	458	435
513	459	434
514	459	433
515	460	431
516	461	430
517	461	429
518	462	428
519	463	427
520	463	426
521	464	425
522	464	423
523	465	422
524	466	421
525	466	420
526	467	419
527	467	418
528	468	417
529	469	415
530	469	414
531	470	413
532	470	412
533	471	411
534	471	410
535	472	409
536	473	407
537	473	406
538	474	405
539	474	404
540	475	403
541	476	402
542	476	401
543	477	400
544	477	398
545	478	397
546	479	396
547	479	395
548	480	394
